Timestamp,Buy_Price,Sell_Price
177427229.1687,279.7,125.7
177427231.1687,279.7,125.7
177427233.1687,279.7,125.7
177427235.1687,279.7,125.7
177427237.1687,279.7,125.7
177427239.1687,279.7,125.7
177427241.1687,279.7,125.7
177427243.1687,279.7,125.7
177427245.1687,279.7,125.7
177427247.1687,279.7,125.7
177427249.1687,279.7,125.7
177427251.1687,279.8,125.7
177427253.1687,279.8,125.7
177427255.1687,279.8,125.7
177427257.1687,279.8,125.7
177427259.1687,279.8,125.7
177427261.1687,279.8,125.7
177427263.1687,279.8,125.7
177427265.1687,279.7,125.7
177427267.1687,279.7,125.7
177427269.1687,279.7,125.7
177427271.1687,279.7,125.7
177427273.1687,279.7,125.7
177427275.1687,279.7,125.7
177427277.1687,279.7,125.7
177427279.1687,279.7,125.7
177427281.1687,279.7,125.7
177427283.1687,279.7,125.7
177427285.1687,279.7,125.7
177427287.1687,279.7,125.7
177427289.1687,279.7,125.7
177427291.1687,279.7,125.7
177427293.1687,279.7,125.7
177427295.1687,279.7,125.7
177427297.1687,279.7,125.7
177427299.1687,279.7,125.7
177427301.1687,279.7,125.7
177427303.1687,279.7,125.7
177427305.1687,279.7,125.7
177427307.1687,279.7,125.7
177427309.1687,279.7,125.7
177427311.1687,279.7,125.7
177427313.1687,279.7,125.7
177427315.1687,279.7,125.7
177427317.1687,279.7,125.7
177427319.1687,279.7,125.7
177427321.1687,279.7,125.7
177427323.1687,279.7,125.7
177427325.1687,279.7,125.7
177427327.1687,279.9,125.7
177427329.1687,279.9,125.7
177427331.1687,279.9,125.7
177427333.1687,279.9,125.7
177427335.1687,279.9,125.7
177427337.1687,279.9,125.7
177427339.1687,279.9,125.7
177427341.1687,279.9,125.7
177427343.1687,279.9,125.7
177427345.1687,279.79999999999995,125.7
177427347.1687,279.79999999999995,125.7
177427349.1687,279.79999999999995,125.7
177427351.1687,279.79999999999995,125.7
177427353.1687,279.79999999999995,125.7
177427355.1687,279.79999999999995,125.7
177427357.1687,279.79999999999995,125.7
177427359.1687,279.79999999999995,125.7
177427361.1687,279.79999999999995,125.7
177427363.1687,279.79999999999995,125.7
177427365.1687,279.79999999999995,125.7
177427367.1687,279.79999999999995,125.7
177427369.1687,279.79999999999995,125.7
177427371.1687,279.79999999999995,125.7
177427373.1687,279.79999999999995,125.7
177427375.1687,279.79999999999995,125.7
177427377.1687,279.79999999999995,125.7
177427379.1687,279.79999999999995,125.7
177427381.1687,279.79999999999995,125.7
177427383.1687,279.79999999999995,125.7
177427385.1687,279.79999999999995,125.7
177427387.1687,279.79999999999995,125.7
177427389.1687,279.79999999999995,125.7
177427391.1687,279.69999999999993,125.7
177427393.1687,279.69999999999993,125.7
177427395.1687,279.69999999999993,125.7
177427397.1687,279.69999999999993,125.7
177427399.1687,279.69999999999993,125.7
177427401.1687,279.69999999999993,125.7
177427403.1687,279.69999999999993,125.7
177427405.1687,279.69999999999993,125.8
177427407.1687,279.69999999999993,125.8
177427409.1687,279.69999999999993,125.8
177427411.1687,279.69999999999993,125.8
177427413.1687,279.69999999999993,125.8
177427415.1687,279.69999999999993,125.8
177427417.1687,279.69999999999993,125.8
177427419.1687,279.69999999999993,125.8
177427421.1687,279.69999999999993,125.8
177427423.1687,279.69999999999993,125.8
177427425.1687,279.69999999999993,125.8
177427427.1687,279.69999999999993,125.8
177427429.1687,279.69999999999993,125.8
177427431.1687,279.69999999999993,125.8
177427433.1687,279.69999999999993,125.8
177427435.1687,279.69999999999993,125.8
177427437.1687,279.69999999999993,125.8
177427439.1687,279.69999999999993,125.8
177427441.1687,279.69999999999993,125.8
177427443.1687,279.69999999999993,125.8
177427445.1687,279.69999999999993,125.8
177427447.1687,279.69999999999993,125.8
177427449.1687,279.69999999999993,125.8
177427451.1687,279.69999999999993,125.8
177427453.1687,279.69999999999993,125.8
177427455.1687,279.69999999999993,125.8
177427457.1687,279.69999999999993,125.7
177427459.1687,279.69999999999993,125.7
177427461.1687,279.69999999999993,125.7
177427463.1687,279.69999999999993,125.7
177427465.1687,279.69999999999993,125.7
177427467.1687,279.69999999999993,125.7
177427469.1687,279.69999999999993,125.7
177427471.1687,279.69999999999993,125.7
177427473.1687,279.69999999999993,125.7
177427475.1687,279.69999999999993,125.7
177427477.1687,279.69999999999993,125.7
177427479.1687,279.69999999999993,125.7
177427481.1687,279.69999999999993,125.7
177427483.1687,279.69999999999993,125.7
177427485.1687,279.69999999999993,125.7
177427487.1687,279.69999999999993,125.7
177427489.1687,279.69999999999993,125.7
177427491.1687,279.69999999999993,125.7
177427493.1687,279.69999999999993,125.7
177427495.1687,279.69999999999993,125.7
177427497.1687,279.69999999999993,125.7
177427499.1687,279.69999999999993,125.7
177427501.1687,279.69999999999993,125.7
177427503.1687,279.69999999999993,125.7
177427505.1687,279.69999999999993,125.7
177427507.1687,279.69999999999993,125.7
177427509.1687,279.69999999999993,125.7
177427511.1687,279.69999999999993,125.7
177427513.1687,279.69999999999993,125.7
177427515.1687,279.69999999999993,125.7
177427517.1687,279.69999999999993,125.7
177427519.1687,279.69999999999993,125.7
177427521.1687,279.69999999999993,125.7
177427523.1687,279.69999999999993,125.7
177427525.1687,279.69999999999993,125.7
177427527.1687,279.69999999999993,125.7
177427529.1687,279.5999999999999,125.7
177427531.1687,279.5999999999999,125.7
177427533.1687,279.5999999999999,125.7
177427535.1687,279.5999999999999,125.7
177427537.1687,279.5999999999999,125.7
177427539.1687,279.5999999999999,125.7
177427541.1687,279.5999999999999,125.7
177427543.1687,279.5999999999999,125.7
177427545.1687,279.5999999999999,125.7
177427547.1687,279.5999999999999,125.7
177427549.1687,279.5999999999999,125.7
177427551.1687,279.5999999999999,125.7
177427553.1687,279.5999999999999,125.7
177427555.1687,279.5999999999999,125.7
177427557.1687,279.5999999999999,125.7
177427559.1687,279.5999999999999,125.7
177427561.1687,279.5999999999999,125.7
177427563.1687,279.5999999999999,125.7
177427565.1687,279.5999999999999,125.7
177427567.1687,279.5999999999999,125.7
177427569.1687,279.5999999999999,125.7
177427571.1687,279.5999999999999,125.7
177427573.1687,279.5999999999999,125.7
177427575.1687,279.5999999999999,125.7
177427577.1687,279.5999999999999,125.7
177427579.1687,279.5999999999999,125.7
177427581.1687,279.5999999999999,125.7
177427583.1687,279.5999999999999,125.7
177427585.1687,279.5999999999999,125.7
177427587.1687,279.5999999999999,125.7
177427589.1687,279.5999999999999,125.7
177427591.1687,279.5999999999999,125.7
177427593.1687,279.5999999999999,125.7
177427595.1687,279.5999999999999,125.7
177427597.1687,279.5999999999999,125.7
177427599.1687,279.5999999999999,125.7
177427601.1687,279.5999999999999,125.7
177427603.1687,279.5999999999999,125.7
177427605.1687,279.5999999999999,125.7
177427607.1687,279.5999999999999,125.7
177427609.1687,279.5999999999999,125.7
177427611.1687,279.5999999999999,125.7
177427613.1687,279.5999999999999,125.7
177427615.1687,279.5999999999999,125.7
177427617.1687,279.5999999999999,125.7
177427619.1687,279.5999999999999,125.7
177427621.1687,279.5999999999999,125.7
177427623.1687,279.5999999999999,125.7
177427625.1687,279.5999999999999,125.7
177427627.1687,279.5999999999999,125.7
177427629.1687,279.5999999999999,125.7
177427631.1687,279.5999999999999,125.7
177427633.1687,279.5999999999999,125.7
177427635.1687,279.5999999999999,125.7
177427637.1687,279.5999999999999,125.7
177427639.1687,279.5999999999999,125.7
177427641.1687,279.5999999999999,125.7
177427643.1687,279.5999999999999,125.7
177427645.1687,279.5999999999999,125.7
177427647.1687,279.5999999999999,125.7
177427649.1687,279.5999999999999,125.7
177427651.1687,279.5999999999999,125.7
177427653.1687,279.5999999999999,125.7
177427655.1687,279.5999999999999,125.7
177427657.1687,279.5999999999999,125.7
177427659.1687,279.5999999999999,125.7
177427661.1687,279.5999999999999,125.7
177427663.1687,279.5999999999999,125.7
177427665.1687,279.5999999999999,125.7
177427667.1687,279.5999999999999,125.7
177427669.1687,279.5999999999999,125.7
177427671.1687,279.4999999999999,125.7
177427673.1687,279.4999999999999,125.7
177427675.1687,279.4999999999999,125.7
177427677.1687,279.4999999999999,125.7
177427679.1687,279.4999999999999,125.7
177427681.1687,279.4999999999999,125.7
177427683.1687,279.4999999999999,125.7
177427685.1687,279.4999999999999,125.7
177427687.1687,279.4999999999999,125.7
177427689.1687,279.4999999999999,125.7
177427691.1687,279.4999999999999,125.7
177427693.1687,279.4999999999999,125.7
177427695.1687,279.4999999999999,125.7
177427697.1687,279.4999999999999,125.7
177427699.1687,279.4999999999999,125.7
177427701.1687,279.4999999999999,125.7
177427703.1687,279.4999999999999,125.7
177427705.1687,279.4999999999999,125.7
177427707.1687,279.4999999999999,125.7
177427709.1687,279.4999999999999,125.7
177427711.1687,279.4999999999999,125.7
177427713.1687,279.4999999999999,125.7
177427715.1687,279.4999999999999,125.7
